alcohol_id,type_name,alco_name,image,detail,
18,2332,ホワイト・レディ,,"ドライ・ジン+ホワイト・キュラソー+レモンジュース,中甘辛口,白系,少し強めでシャープな味わいで甘過ぎない,アルコール度数は高い",
19,"2321,2322",マルガリータ,,"テキーラ+ホワイト・キュラソー+レモン（ライム）ジュース+食塩,中甘辛口,白系,スノースタイル（グラスの淵に食塩がついている）で甘くてさっぱりしているので飲みやすい,アルコール度数は高い",
20,"2112,2132",ミモザ,,"シャンパン+オレンジジュース,中甘辛口,黄色系,この世で最もおいしくて贅沢なオレンジジュースといわれている、フルーティーなのにおしゃれな味,アルコール度数は低い",
21,2122,バラライカ,,"ウォッカ+ホワイト・キュラソー+レモンジュース,中甘辛口,白系,さっぱりとして口当たりがよく、クールで切れ味のある味わい,アルコール度数は高い",
22,"2231,2232",サイドカー,,"ブランデー+ホワイト・キュラソー+レモンジュース,中甘辛口,茶系,オレンジの香りとレモン果汁の酸味がマッチした爽やかでフルーティーな味わい,アルコール度数は高い",
23,2331,レッド・アイ,,"ビール+トマトジュース,辛口,赤系,さっぱりとした飲み口ですっきりごくごく飲める,アルコール度数は低い",
24,2312,ギムレット,,"ジン+ライムジュース,中甘辛口,無色,ギムレットとは「錐（きり）」の意で鋭く突き刺さるような味、辛口で酸味がある,アルコール度数は高い",
25,"2211,2212",チャイナブルー,,"ライチリキュール+ブルーキュラソー+グレープフルーツジュース,中甘辛口,青系,ライチとグレープフルーツの組み合わせで飲みやすく、色もほんのり青くて綺麗,アルコール度数は低い",
26,2121,カイピリーニャ,,"カシャーサ+ライム+砂糖+クラッシュドアイス,中甘辛口,白系,程よい酸味と甘みがあり飲みやすい,アルコール度数は高い",
27,"2221,2222",ニューヨーク,,"ウイスキー+ライムジュース+グレナデンシロップ+砂糖+オレンジピール,赤系,鮮やかなオレンジ色が魅力的、柑橘類の酸味が程よい口当たり,アルコール度数は高い",
28,"2111,2131",ソル・クバーノ,,"ラム+グレープフルーツジュース+トニックウォーター+カットグレープフルーツ,中甘辛口,白系,グレープフルーツのフレッシュな酸味と苦みがある,アルコール度数は低い",
29,3212,モスコミュール,,"ウォッカ+ジンジャーエール+ライムジュース,中甘辛口,茶系,さっぱりとした飲み口でさわやかな香りがある,アルコール度数は普通",
30,3111,ジントニック,,"ドライ・ジン+トニックウォーター+ライムカット,中甘辛口,無色,とても爽やかな味わいで、すこしツンとした癖のある香りがする,アルコール度数は普通",
31,3211,ソルティドッグ,,"ウォッカ+グレープフルーツジュース+食塩,中甘辛口,黄色系,グレープフルーツの苦みと特徴的なスノースタイル（グラスの淵に食塩がついている）のしょっぱさがちょうどいい,アルコール度数は普通",
32,"3221,3222",バレンシア,,"アプリコット・ブランデー+オレンジジュース+オレンジ・ビターズ,中甘辛口,黄色系,甘口でさっぱりとした味,オレンジの苦みもある,アルコール度数は普通",
33,3111,グリーン・アラスカ,,"ジン+シャトリューズ・ヴェール,辛口,緑系,ハーブの苦味と蜂蜜の甘さが合体し、深い味わいと香りがある,アルコール度数は高い",
34,3312,カンパリオレンジ,,"カンパリ+オレンジジュース,中甘辛口,黄色系,カンパリは苦みの強いお酒だが、オレンジを入れて甘苦くなっている少し大人な味,アルコール度数は低い",
35,"3121,3122",シャンディ・ガフ,,"ビール+ジンジャーエール,中甘辛口,茶系,ジンジャーエールのほのかな甘さとビールのほろ苦さがマッチしている,アルコール度数は低い",
36,3312,スプモーニ,,"カンパリ+グレープフルーツジュース+トニックウォーター,甘口,赤系,見た目がサーモンピンクでとても綺麗、カンパリの苦みとトニックの爽やかな香りがお洒落な味わい,アルコール度数は低い",
37,"3321,3322",ダージリンクーラー,,"ティフィン・ティー・リキュール+シャンボール（またはクレーム・ド・フランボワーズ）+レモンジュース+ジンジャーエール,中甘辛口,茶系,紅茶のリキュールに木苺の味が相まって、ピーチティーやアップルティーに近い味がするが、それをジンジャーエールで割ってさっぱりとしている,アルコール度数は普通",
38,3311,カンパリソーダ,,"カンパリ+ソーダ,中甘辛口,赤系,苦くて独特の風味がある,アルコール度数は普通",
39,3112,パナシェ,,"ビール+透明なレモンの炭酸飲料,中甘辛口,黄色系,ビールの持つほろ苦さとレモン炭酸飲料の甘さと酸味が絡み合い、爽やかな飲み口,アルコール度数は低い",
40,4111,モヒート,,"ラム+ライム+ソーダ+砂糖+ミントの葉,辛口,無色,ラムのいい香りとライムやミントの爽やかさがある,アルコール度数は普通",
41,4112,マティーニ,,"ドライ・ジン+ドライ・ベルモット+オリーブの実,辛口,無色,引き締まった辛口の味わいでオリーブの実をかじりながら飲むと風味が変わる,アルコール度数は高い",
42,4312,バンブー,,"ラ・イーナ+ドライベルモット+オレンジビターズ,辛口,無色,キリッとクリアな味わい,アルコール度数は高い",
43,4311,キティ,,"赤ワイン+ジンジャーエール,中甘辛口,赤系,ジンジャーエールを辛口にすればキリッとした味わい、ジンジャーエールを甘口にすれば甘めの味わいになる,アルコール度数は低い",
44,"4221,4222",カミカゼ,,"ウォッカ+ライムジュース+ホワイトキュラソー,中甘辛口,白系,キリッとした味が特徴で、すっきりしたカクテル,アルコール度数は高い",
45,4211,カイピロスカ,,"ウォッカ+ライム+砂糖+クラッシュドアイス,中甘辛口,無色,刻んだライムの爽やかな味わい,アルコール度数は高い",
46,"4121,4122",アラスカ,,"ジン+イエローシャルトリューズ,中甘辛口,黄色系,キリッとした強い味わいとハーブの甘さが際立つ味,アルコール度数は高い",
47,"4321,4322",エル・ディアブロ,,"テキーラ+カシスリキュール+C10+ジンジャーエール+ライム,辛口,赤系,ライムの酸味とジンジャーエールのピリッとした風味ですっきりと飲める,アルコール度数は普通",
48,4111,アンダルシア,,"ホワイト・ラム+コニャック+ドライ・シェリー,辛口,茶系,コニャックとシェリーの風味がマッチしたキレのよい味わい,アルコール度数は高い",
49,4212,ウォッカ・マティーニ,,"ウォッカ+ドライベルモット+オリーブの実,辛口,無色,ウォッカベースの淡白な味わい,アルコール度数は高い",
50,4221,ホーセズ・ネック,,"ブランデー+ジンジャーエール+レモンの皮,中甘辛口,茶系,螺旋状にまかれたレモンの皮が特徴、レモンの酸味とはまた変わった香りが楽しめる,アルコール度数は普通",
